Name,DNS Domain,Type,Status,IP Address,D Operating System,D Host Domain
fenappcenp04,,Windows,Build/Rebuild,156.45.65.67,Windows Server 2012 R2 Standard R2,us.maritz.net
fenappcsmt01,,Windows,In Use,172.18.2.19,Windows 2008 R2,us.maritz.net
fenappdev01,,Windows,In Use,156.45.55.136,Windows 2003,us.maritz.net
fenappdial03,,Windows,Build/Rebuild,10.91.6.29,Windows 2003 R2,us.maritz.net
fenappdial04,,Windows,In Use,10.91.6.24,Windows 2003 R2,us.maritz.net
fenappditbd501v,,Windows,In Use,156.45.55.103,Windows 2003,us.maritz.net
fenappditbt501v,,Windows,In Use,156.45.55.104,Windows 2003,us.maritz.net
fenappdlpp01,,Windows,In Use,172.19.7.41,Windows 2008 R2,us.maritz.net
fenappdlpp02,,Windows,In Use,172.19.7.31,Windows 2008 R2,us.maritz.net
fenappdlpp03,,Windows,In Use,172.19.7.32,Windows 2008 R2,us.maritz.net
fenappdlpp04,,Windows,In Use,172.19.7.33,Windows 2008 R2,us.maritz.net
fenappdlpp06,,Windows,In Use,172.19.7.28,Windows 2008 R2,us.maritz.net
fenappdlpp07,,Windows,In Use,172.19.7.29,Windows 2008 R2,us.maritz.net
fenappedp02,,Windows,In Use,156.45.55.119,Windows 2003,us.maritz.net
fenappedp03,,Windows,In Use,156.45.55.116,Windows 2003,us.maritz.net
fenappedp06,,Windows,In Use,156.45.54.44,Windows 2003,us.maritz.net
fenappedp07,,Windows,In Use,156.45.54.65,Windows 2008 R2,us.maritz.net
fenappedp08,,Windows,In Use,10.99.13.29,Windows 2008 R2,mpn.local
fenappekmp02,,Windows,In Use,10.2.1.56,Windows Server 2012 Standard,us.maritz.net
fenappepop02,,Windows,In Use,156.45.50.81,Windows 2003,us.maritz.net
fenappepop03,,Windows,In Use,156.45.50.159,Windows Server 2012 Standard,us.maritz.net
fenappfind01,,Windows,In Use,172.19.15.25,Windows 2008 R2,us.maritz.net
fenappfind01-old,,Windows,De-Installed,172.19.15.25,Windows 2008 R2,us.maritz.net
